0.000,0.000,0.000,1.901
0.279,0.200,1.400,2.062
0.441,0.267,1.707,2.019
0.638,0.295,2.034,1.782
0.974,0.316,6.144,1.679
1.606,0.330,5.761,1.817
2.187,0.335,5.404,1.934
2.705,0.325,5.238,1.751
3.045,0.313,4.988,1.755
3.366,0.300,4.768,1.776
3.712,0.273,4.617,1.702
4.045,0.250,4.438,1.703
4.381,0.231,4.278,1.701
4.696,0.214,4.134,1.698
5.010,0.200,4.004,1.703
REACHED GOAL 1
5.431,0.212,3.888,1.646
5.987,0.223,3.838,1.532
6.576,0.232,3.752,1.562
7.197,0.234,3.982,1.596
7.681,0.232,3.917,1.625
8.175,0.227,3.846,1.653
8.615,0.221,4.033,1.612
9.045,0.211,3.949,1.624
9.481,0.202,3.869,1.633
9.921,0.194,3.794,1.641
10.364,0.187,3.723,1.647
10.794,0.180,3.656,1.651
11.217,0.173,3.592,1.653
11.653,0.167,3.532,1.654
12.087,0.162,3.475,1.654
12.532,0.157,3.420,1.653
12.959,0.152,3.368,1.651
13.403,0.147,3.318,1.648
13.833,0.143,3.270,1.644
14.271,0.139,3.224,1.639
14.711,0.135,3.181,1.634
15.144,0.131,3.139,1.660
REACHED GOAL 2
15.659,0.138,3.157,1.664
REACHED GOAL 3
