0.000,0.000,0.000
1.277,0.011,0.000
1.469,0.021,0.000
1.663,0.111,0.000
1.869,0.164,0.000
2.136,0.196,0.000
2.432,0.223,0.000
2.736,0.245,0.000
3.037,0.262,0.000
3.351,0.269,0.000
3.634,0.281,0.000
3.956,0.291,0.000
4.314,0.300,0.000
4.690,0.305,0.000
5.040,0.312,0.000
5.384,0.317,0.000
5.724,0.322,0.000
6.067,0.325,0.000
6.392,0.329,0.000
6.714,0.333,0.000
7.025,0.336,0.000
7.341,0.339,0.000
7.640,0.341,0.000
7.962,0.344,0.000
8.296,0.345,0.000
8.636,0.347,0.000
8.946,0.349,0.000
9.261,0.350,0.000
9.577,0.349,0.000
9.868,0.348,0.000
10.166,0.345,0.000
10.429,0.341,0.000
10.696,0.337,0.000
10.963,0.333,0.000
11.214,0.328,0.000
11.465,0.323,0.000
11.739,0.318,0.000
11.998,0.310,0.000
12.255,0.302,0.000
12.503,0.294,0.000
12.763,0.287,0.000
13.028,0.280,0.000
13.292,0.274,0.000
13.550,0.267,0.000
13.812,0.261,0.000
14.067,0.256,0.000
14.331,0.250,0.000
14.598,0.245,0.000
14.861,0.240,0.000
15.120,0.235,0.000
15.380,0.231,0.000
15.642,0.226,0.000
15.897,0.222,0.000
