0.000,0.000,0.000,0.745
0.352,0.200,0.803,1.244
0.835,0.267,1.721,1.620
1.816,0.300,2.007,1.674
2.284,0.320,2.466,1.791
2.580,0.333,2.394,1.838
2.964,0.328,2.249,1.762
3.420,0.311,2.169,1.847
3.622,0.293,2.084,1.809
3.881,0.274,2.067,1.832
4.037,0.257,2.249,1.853
4.186,0.239,2.176,1.685
4.329,0.224,2.132,1.707
4.487,0.208,2.066,1.717
4.642,0.196,2.044,1.731
4.824,0.184,1.986,1.726
4.981,0.173,1.932,1.720
5.137,0.163,1.882,1.713
5.295,0.155,1.836,1.705
5.456,0.147,1.794,1.697
5.609,0.140,1.754,1.688
5.760,0.134,1.716,1.678
5.904,0.128,1.681,1.669
6.051,0.122,1.648,1.658
6.198,0.118,1.617,1.648
6.340,0.113,1.587,1.637
6.492,0.109,1.559,1.626
6.634,0.105,1.533,1.614
6.785,0.101,1.507,1.602
6.929,0.098,1.483,1.590
7.081,0.095,1.460,1.578
7.229,0.092,1.439,1.565
7.372,0.089,1.418,1.552
7.527,0.086,1.398,1.539
7.679,0.084,1.378,1.525
7.816,0.082,1.360,1.512
7.967,0.079,1.342,1.498
8.118,0.077,1.325,1.505
REACHED GOAL 1
8.402,0.082,1.391,1.519
8.733,0.085,1.375,1.539
9.077,0.086,1.394,1.546
9.350,0.086,1.382,1.563
9.568,0.086,1.423,1.601
9.801,0.085,1.415,1.594
10.030,0.084,1.405,1.612
10.249,0.083,1.392,1.607
10.473,0.081,1.377,1.611
10.719,0.079,1.364,1.614
10.957,0.078,1.350,1.616
11.196,0.076,1.338,1.621
11.420,0.075,1.337,1.618
11.666,0.073,1.324,1.588
11.886,0.072,1.313,1.593
12.135,0.071,1.301,1.597
12.372,0.069,1.290,1.600
12.619,0.068,1.278,1.602
12.876,0.067,1.268,1.603
13.118,0.066,1.257,1.604
13.362,0.065,1.247,1.604
13.602,0.063,1.237,1.604
13.843,0.062,1.227,1.603
14.093,0.061,1.218,1.601
14.335,0.060,1.208,1.599
14.588,0.060,1.199,1.596
14.822,0.059,1.190,1.593
15.066,0.058,1.182,1.590
15.307,0.057,1.173,1.586
15.546,0.056,1.165,1.582
15.784,0.055,1.157,1.578
16.017,0.054,1.149,1.573
16.243,0.054,1.141,1.568
16.464,0.053,1.133,1.562
16.701,0.052,1.126,1.557
16.935,0.051,1.118,1.559
REACHED GOAL 2
17.294,0.056,1.147,1.546
17.777,0.058,1.150,1.553
18.122,0.059,1.161,1.554
18.459,0.060,1.171,1.555
18.770,0.060,1.190,1.544
19.034,0.059,1.206,1.546
19.331,0.059,1.210,1.569
19.640,0.059,1.209,1.571
19.933,0.058,1.202,1.574
20.246,0.058,1.198,1.562
20.579,0.057,1.191,1.565
20.884,0.057,1.184,1.568
21.222,0.056,1.178,1.570
21.516,0.055,1.171,1.572
21.821,0.055,1.165,1.574
22.161,0.054,1.159,1.575
22.466,0.053,1.152,1.575
22.776,0.053,1.146,1.575
23.099,0.052,1.140,1.575
23.415,0.052,1.135,1.574
23.709,0.051,1.129,1.573
23.993,0.051,1.123,1.572
24.299,0.050,1.117,1.571
24.598,0.050,1.112,1.569
24.896,0.049,1.107,1.580
25.189,0.049,1.103,1.583
25.489,0.048,1.097,1.586
25.778,0.048,1.092,1.588
26.090,0.047,1.087,1.589
26.387,0.047,1.082,1.590
26.705,0.047,1.077,1.587
27.014,0.046,1.072,1.589
27.313,0.046,1.067,1.590
27.614,0.045,1.062,1.592
27.912,0.045,1.057,1.593
28.204,0.045,1.053,1.594
28.518,0.044,1.048,1.595
28.798,0.044,1.050,1.595
29.101,0.044,1.045,1.592
REACHED GOAL 3
