-0.218,-0.143,0.050845,118,458000000
0.246,-0.049,0.050845,123,734000000
0.800,0.064,0.050845,124,697000000
1.209,-0.043,0.050845,125,632000000
1.478,-0.286,0.050845,126,623000000
1.762,-0.395,0.050845,127,651000000
1.926,-0.505,0.050845,128,669000000
1.987,-0.501,0.050845,129,566000000
2.064,-0.483,0.050845,130,637000000
2.013,-0.527,0.050845,131,646000000
2.017,-0.498,0.050845,132,660000000
2.054,-0.463,0.050845,133,656000000
2.029,-0.484,0.050845,134,714000000
REACHED GOAL 1
2.282,-0.724,0.050845,135,946000000
REACHED GOAL 2
2.583,-0.960,0.050845,136,817000000
2.798,-1.261,0.050845,137,752000000
3.209,-1.444,0.050845,138,677000000
3.409,-1.857,0.050845,139,716000000
3.594,-1.914,0.050845,140,742000000
3.624,-2.124,0.050845,141,880000000
3.844,-2.151,0.050845,142,894000000
3.814,-2.129,0.050845,143,822000000
3.817,-2.131,0.050845,144,791000000
3.817,-2.151,0.050845,145,745000000
3.800,-2.121,0.050845,146,777000000
3.821,-2.135,0.050845,147,790000000
REACHED GOAL 3
