0.000,0.000,0.000,1.125
0.507,0.200,1.855,0.908
1.299,0.244,2.314,0.649
1.961,0.254,4.322,0.847
2.177,0.247,4.431,0.830
2.479,0.232,4.194,0.862
2.578,0.199,3.947,0.936
2.606,0.174,3.814,1.004
2.631,0.155,3.686,1.055
2.659,0.139,3.566,1.094
2.672,0.127,3.455,1.290
REACHED GOAL 1
2.977,0.149,3.363,1.285
REACHED GOAL 2
3.393,0.167,3.421,1.353
3.823,0.184,4.067,1.375
4.291,0.198,3.960,1.341
4.764,0.204,3.927,1.414
5.110,0.206,3.843,1.449
5.414,0.204,3.744,1.427
5.636,0.193,3.655,1.507
5.816,0.184,3.571,1.514
6.004,0.175,3.493,1.518
6.201,0.167,3.420,1.478
REACHED GOAL 3
