0.000,0.000,0.000
0.288,0.024,1.459
0.336,0.032,1.444
0.377,0.032,1.873
0.435,0.031,2.034
0.488,0.036,2.218
0.541,0.067,2.238
0.609,0.089,2.232
0.757,0.102,2.393
0.854,0.112,2.600
0.967,0.116,2.588
1.046,0.119,2.546
1.111,0.110,2.495
1.183,0.102,2.415
1.232,0.095,2.341
1.276,0.089,2.274
1.318,0.084,2.213
1.360,0.079,2.156
1.402,0.075,2.103
1.446,0.071,2.054
1.492,0.068,2.009
1.532,0.065,1.966
1.574,0.062,1.926
1.616,0.059,1.888
1.657,0.057,1.852
1.698,0.055,1.818
1.737,0.053,1.786
1.777,0.051,1.756
1.817,0.049,1.727
1.857,0.048,1.700
1.896,0.046,1.674
1.937,0.045,1.649
1.978,0.043,1.625
2.018,0.042,1.602
2.058,0.041,1.580
