0.000,0.000,0.000,0
0.271,0.264,0.000,0
0.274,0.264,0.000,0
0.344,0.264,-0.001,0
0.478,0.264,-0.016,0
0.555,0.264,-0.021,0
0.632,0.269,-0.021,0
0.687,0.283,-0.021,0
0.743,0.286,-0.021,0
0.780,0.304,-0.021,0
0.857,0.306,-0.021,0
0.912,0.306,-0.022,0
0.961,0.306,-0.025,0
1.010,0.311,-0.025,0
1.043,0.311,-0.026,0
1.094,0.311,-0.031,0
1.146,0.311,-0.042,0
1.237,0.311,-0.060,0
1.293,0.311,-0.064,0
1.343,0.319,-0.064,0
1.356,0.321,-0.064,0
1.370,0.330,-0.064,0
1.386,0.336,-0.064,0
1.405,0.338,-0.064,0
1.423,0.345,-0.064,0
1.450,0.346,-0.064,0
1.469,0.346,-0.072,0
1.492,0.346,-0.078,0
1.500,0.347,-0.078,0
1.511,0.347,-0.087,0
1.532,0.347,-0.097,0
1.551,0.347,-0.106,0
1.564,0.347,-0.109,0
1.577,0.347,-0.112,0
1.583,0.349,-0.112,0
1.595,0.358,-0.112,0
1.603,0.359,-0.112,0
1.611,0.365,-0.112,0
1.619,0.367,-0.112,0
1.630,0.367,-0.112,0
1.638,0.367,-0.114,0
1.643,0.367,-0.116,0
1.645,0.367,-0.118,0
1.648,0.369,-0.118,0
1.649,0.369,-0.118,0
1.649,0.369,-0.118,0
1.651,0.370,-0.118,0
1.653,0.371,-0.118,0
1.657,0.374,-0.118,0
1.658,0.374,-0.119,0
1.663,0.374,-0.120,0
1.666,0.374,-0.120,0
1.667,0.374,-0.121,0
1.669,0.374,-0.122,0
1.671,0.375,-0.122,0
1.674,0.377,-0.122,0
1.675,0.377,-0.123,0
1.677,0.377,-0.123,0
1.683,0.377,-0.123,0
1.686,0.377,-0.126,0
1.688,0.377,-0.127,0
1.689,0.378,-0.127,0
1.690,0.379,-0.127,0
1.693,0.379,-0.127,0
1.695,0.379,-0.128,0
1.698,0.379,-0.128,0
1.699,0.380,-0.128,0
1.702,0.381,-0.128,0
1.703,0.381,-0.128,0
1.706,0.381,-0.131,0
1.709,0.381,-0.134,0
1.712,0.381,-0.134,0
1.714,0.382,-0.134,0
1.718,0.383,-0.134,0
1.721,0.385,-0.134,0
1.724,0.388,-0.134,0
1.727,0.390,-0.134,0
1.731,0.390,-0.135,0
1.733,0.390,-0.137,0
1.735,0.390,-0.137,0
1.738,0.390,-0.138,0
1.742,0.390,-0.140,0
1.743,0.390,-0.140,0
1.747,0.390,-0.142,0
1.751,0.390,-0.142,0
1.752,0.391,-0.142,0
1.756,0.394,-0.142,0
1.758,0.395,-0.142,0
1.761,0.396,-0.142,0
1.764,0.398,-0.142,0
1.766,0.399,-0.142,0
1.771,0.403,-0.142,0
1.774,0.405,-0.142,0
1.775,0.405,-0.142,0
1.777,0.405,-0.144,0
1.784,0.405,-0.149,0
1.793,0.405,-0.158,0
1.797,0.405,-0.160,0
1.801,0.405,-0.161,0
1.806,0.406,-0.161,0
1.808,0.406,-0.162,0
1.814,0.408,-0.162,0
1.815,0.409,-0.162,0
1.820,0.410,-0.162,0
1.821,0.411,-0.162,0
1.827,0.411,-0.162,0
1.829,0.411,-0.162,0
1.830,0.411,-0.163,0
1.833,0.411,-0.165,0
1.839,0.413,-0.165,0
1.845,0.415,-0.165,0
1.847,0.417,-0.165,0
1.854,0.420,-0.165,0
1.857,0.420,-0.165,0
1.862,0.421,-0.165,0
1.863,0.422,-0.165,0
1.867,0.423,-0.165,0
1.875,0.423,-0.167,0
1.907,0.424,-0.167,0
1.926,0.424,-0.170,0
