0.000,0.000,0.000
2.021,0.200,0.000
2.397,0.260,0.000
2.796,0.295,0.000
3.240,0.316,0.000
3.696,0.330,0.000
4.154,0.334,0.000
4.632,0.342,0.000
5.125,0.346,0.000
5.636,0.352,0.000
6.168,0.356,0.000
6.714,0.360,0.000
7.243,0.363,0.000
7.782,0.365,0.000
8.321,0.368,0.000
8.887,0.370,0.000
9.451,0.372,0.000
10.031,0.373,0.000
10.601,0.375,0.000
11.200,0.376,0.000
11.817,0.377,0.000
12.433,0.378,0.000
13.056,0.377,0.000
13.689,0.374,0.000
14.320,0.370,0.000
14.947,0.366,0.000
15.575,0.361,0.000
16.212,0.355,0.000
