0.000,0.000,0.000,1.450
2.103,0.200,1.781,1.730
REACHED GOAL 1
2.520,0.267,2.133,1.830
3.072,0.285,2.098,1.811
3.456,0.279,2.979,1.735
3.793,0.263,2.810,1.706
4.112,0.225,2.650,1.727
4.379,0.197,2.513,1.743
4.645,0.175,2.394,1.755
4.919,0.158,2.291,1.764
5.185,0.143,2.200,1.770
5.446,0.132,2.119,1.733
5.715,0.121,2.077,1.792
5.992,0.113,2.012,1.788
6.266,0.105,1.953,1.783
6.534,0.099,1.899,1.778
6.807,0.093,1.849,1.772
7.077,0.088,1.803,1.766
7.340,0.083,1.760,1.762
REACHED GOAL 2
7.747,0.099,1.789,1.741
8.356,0.113,1.784,1.795
8.870,0.126,2.024,1.803
9.370,0.138,1.996,1.752
9.996,0.149,1.963,1.788
10.546,0.157,2.013,1.781
11.138,0.167,2.143,1.794
11.734,0.174,2.154,1.748
12.304,0.178,2.135,1.731
12.814,0.178,2.106,1.762
13.321,0.176,2.097,1.733
13.765,0.171,2.064,1.741
14.188,0.165,2.033,1.760
14.619,0.160,2.003,1.760
15.040,0.156,1.974,1.760
15.479,0.151,1.946,1.759
15.917,0.147,1.920,1.758
16.350,0.143,1.895,1.717
REACHED GOAL 3
