0.019,-0.125,-0.027046,1017,401000000,0.17012180195132828,-0.006268699763997322,0.00578818797918822
0.024,-0.187,0.236534,1028,205000000,-0.013643825137352537,0.005603989552869496,0.004362671897887197
0.021,-0.187,0.236947,1028,358000000,-0.01236205348456258,0.005285341178487488,0.001191592468478494
0.088,-0.205,0.235459,1028,579000000,0.017197026444150196,0.010782727242868778,-0.005506223598850223
0.221,-0.222,0.220926,1028,817000000,0.00973800001887617,0.01281228056059281,-0.02383750960492162
0.297,-0.225,0.216221,1029,2000000,0.0006840207174657349,0.00944036951346374,-0.031148157859595946
0.374,-0.218,0.221024,1029,244000000,-0.012135586056868496,0.008591015860670946,-0.033363692249526254
0.427,-0.222,0.235353,1029,429000000,-0.014787484730916773,0.005399458250555806,-0.03845344919600236
0.482,-0.226,0.237784,1029,599000000,-0.02509653468928738,0.025123243425314183,-0.044584690753842963
0.514,-0.232,0.256471,1029,768000000,-0.02081523935815384,0.009129989581970822,-0.04276246976981585
0.590,-0.247,0.258556,1030,27000000,-0.001662380209347673,0.017476322277623683,-0.04294016966196944
0.644,-0.257,0.257255,1030,203000000,0.000448625472700743,0.011987106566636423,-0.04485460577363963
0.692,-0.248,0.254058,1030,378000000,-0.012956815210971714,0.012087467558244646,-0.03834715202792716
0.740,-0.240,0.258819,1030,616000000,-0.019736699712113337,0.010643577979504725,-0.04237941163609719
0.772,-0.237,0.257545,1030,769000000,-0.017267075112646867,0.011519678792088643,-0.03655583490660377
0.823,-0.235,0.253541,1030,989000000,-0.01570900821625685,0.012298469253402678,-0.040075944369420906
0.874,-0.236,0.242227,1031,218000000,-0.008275713280435183,0.015474760678445507,-0.035623964511966644
0.963,-0.247,0.224133,1031,454000000,0.00037393985822380235,0.009254876865888294,-0.028926591481168704
1.018,-0.241,0.220427,1031,625000000,-0.0018795652486563042,0.01761917430685361,-0.011045084494885414
1.065,-0.228,0.228061,1031,851000000,-0.034176231001727,0.02068597178714934,-0.028262933569857228
1.077,-0.221,0.230447,1031,983000000,-0.03002794708288411,0.011988251845626914,-0.03994175878918257
1.081,-0.232,0.239298,1032,215000000,-0.011304416096161512,0.008883875525309191,-0.11373601230181507
1.088,-0.245,0.245513,1032,404000000,0.004802848850887682,0.012650531592377412,-0.15352420891522706
1.104,-0.255,0.246911,1032,615000000,0.007083714556117571,0.0072282438339613,-0.1483183829614807
1.120,-0.253,0.254583,1032,782000000,-0.0008050031952096035,0.008795395845013043,-0.14773276674835786
1.145,-0.243,0.255799,1033,24000000,-0.014403527995740741,0.008098070682472768,-0.12358445408726688
1.162,-0.244,0.247089,1033,195000000,-0.008807337603431036,0.012565889635664787,-0.11646138355546296
1.179,-0.259,0.241521,1033,425000000,0.00997860606127853,0.01291693154463152,-0.15360683886830107
